Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq
1,92 RPT,146.92,-,0.6,TSQL,110.9,110.9
2,92 SIM,146.92,,,Tone,110.9,67
3,FKN 17,145.17,-,0.6,TSQL,110.9,110.9
4,MCST21,145.21,-,0.6,TSQL,110.9,110.9
5,VHFNAT,146.52,,,,67,67
6,SIM A,146.54,,,,67,67
7,SIM B,147.44,,,,67,67
8,SIM C,146.48,,,,67,67
9,SIM D,147.5,,,,67,67
10,MCKINE,145.35,-,0.6,TSQL,100,100
11,NRHARC,145.37,-,0.6,Tone,110.9,67
12,GRAPEV,145.4,-,0.6,Tone,110.9,67
13,ROSTN,145.49,-,0.6,TSQL,85.4,85.4
14,UTD,145.43,-,0.6,TSQL,110.9,110.9
15,MARS64,146.64,-,0.6,Tone,118.8,67
16,GARC,146.66,-,0.6,Tone,110.9,67
17,W5EBQ,146.7,-,0.6,TSQL,110.9,110.9
18,IRVING,146.72,-,0.6,Tone,110.9,67
19,MARC,146.74,-,0.6,Tone,110.9,67
21,DRACES,146.88,-,0.6,TSQL,110.9,110.9
22,TRACES,146.94,-,0.6,TSQL,110.9,110.9
23,GRAYSN,147,+,0.6,Tone,100,67
24,RCHRD,147.12,+,0.6,TSQL,110.9,110.9
25,PARK,147.18,+,0.6,TSQL,107.2,107.2
26,BOYD,146.98,-,0.6,TSQL,110.9,110.9
27,GAINSV,147.34,+,0.6,Tone,100,67
28,LAARK,147.38,+,0.6,TSQL,110.9,110.9
29,PARDSE,146.62,-,0.6,Tone,131.8,67
30,ARLTON,147.14,+,0.6,TSQL,110.9,110.9
31,WXFORD,147.04,+,0.6,Tone,110.9,67
32,FTWRTH,147.32,+,0.6,TSQL,110.9,110.9
40,220NAT,223.5,,,,67,67
41,220SIM,223.4,,,,67,67
42,UTD220,223.82,+,1.6,TSQL,110.9,110.9
43,LRK220,224,+,1.6,TSQL,110.9,110.9
44,LVL220,224.08,+,1.6,TSQL,110.9,110.9
45,RSTN22,224.2,+,1.6,TSQL,110.9,110.9
46,DEN220,224.92,+,1.6,TSQL,110.9,110.9
51,05 RPT,444.05,+,5,TSQL,110.9,110.9
52,525 RPT,443.525,+,5,TSQL,118.8,118.8
53,MCST65,442.65,+,5,Tone,110.9,67
54,UHFNAT,446,,,,67,67
55,SIM F,446.5,,,,67,67
56,RSTN425,440.425,+,5,TSQL,110.9,110.9
57,ECOM-R,441.325,+,5,TSQL,88.5,88.5
58,CELINA,444.5125,+,5,TSQL,123,123
59,S-LAKE,442.175,+,5,TSQL,110.9,110.9
60,MKIN20,443.2,+,5,Tone,100,67
61,GRPE87,443.875,+,5,TSQL,110.9,110.9
62,DAL025,444.025,+,5,TSQL,110.9,110.9
63,PARK70,444.25,+,5,Tone,79.7,67
64,FTW 70,444.3,+,5,TSQL,110.9,110.9
65,DCTR40,444.4,+,5,TSQL,156.7,156.7
66,RSTN73,443.7375,+,5,TSQL,141.3,141.3
67,RWK70,444.725,+,5,TSQL,110.9,110.9
68,X-BAND,446.025,,,TSQL,110.9,110.9
69,CDRHL,442.4,+,5,TSQL,110.9,110.9
70,BOWIE,442.45,+,5,Tone,156.7,67
71,FMND85,444.85,+,5,TSQL,110.9,110.9
72,DARC42,442.425,+,5,TSQL,110.9,110.9
73,COPPEL,444.225,+,5,TSQL,110.9,110.9
74,MARS07,444.075,+,5,TSQL,110.9,110.9
78,LRK70,443.3,+,5,TSQL,110.9,110.9
79,PRESBX,446.075,,,TSQL,110.9,110.9
80,92XB1,446.075,,,TSQL,114.8,114.8
81,92XB2,446.075,,,TSQL,118.8,118.8
82,92XB3,446.075,,,TSQL,123,123
83,92XB4,446.075,,,TSQL,127.3,127.3
91,WX1,162.4,,,,67,67
92,WX2,162.425,,,,67,67
93,WX3,162.45,,,,67,67
94,WX4,162.475,,,,67,67
95,WX5,162.5,,,,67,67
96,WX6,162.525,,,,67,67
97,WX7,162.55,,,,67,67
100,APRS 1,144.39,,,,67,67
101,APRS 2,144.34,,,,67,67
102,PKT CL,145.01,,,,67,67
103,FREQ F,145.03,,,,67,67
104,FREQ G,145.05,,,,67,67
105,FREQ H,145.07,,,,67,67
106,FREQ A,144.91,,,,67,67
107,FREQ B,144.93,,,,67,67
108,FREQ C,144.95,,,,67,67
109,FREQ D,144.97,,,,67,67
110,FREQ E,144.99,,,,67,67
